name;stars;review_count;categories
Acadia;4.0;79;Restaurants, Cajun/Creole, Southern, Nightlife, Cocktail Bars, Breakfast & Brunch, Seafood, Bars
Marino's Auto Repair;4.5;15;Auto Repair, Automotive
Mazzoni Center;3.0;46;Local Services, Community Service/Non-Profit, Health & Medical, Doctors, Family Practice, Medical Centers, Counseling & Mental Health
Crown Fried Chicken;2.5;16;Restaurants, Fast Food
The Love;4.0;618;Restaurants, American (New), Breakfast & Brunch, Burgers
Philly Homebrew Outlet East;5.0;32;Shopping, Food, Arts & Entertainment, Wholesale Stores, Brewing Supplies, Beer, Wine & Spirits, Wineries
Gotham Escape Room;4.5;23;Active Life, Escape Games
Jong Ka Jib;4.5;351;Korean, Restaurants
Paddy Whacks Irish Sports Pub - South Street;2.5;161;Bars, Nightlife, Pubs
Look Hair Care Studio;5.0;5;Shopping, Hair Salons, Professional Services, Beauty & Spas, Cosmetics & Beauty Supply
Marcie Blaine;3.5;8;Desserts, Specialty Food, Food, Chocolatiers & Shops
Damaso Painting;5.0;7;Carpenters, Pressure Washers, Wallpapering, Home Services, Painters
The Twisted Tail;4.0;604;Event Planning & Services, Whiskey Bars, American (New), American (Traditional), Venues & Event Spaces, Bars, Nightlife, Restaurants
Draino;3.0;10;Plumbing, Home Services
Phone Repair Philly - Center City;4.5;106;Shopping, Electronics Repair, Local Services, IT Services & Computer Repair, Mobile Phone Repair, Mobile Phone Accessories, Mobile Phones
Element Granite & Quartz;4.5;18;Building Supplies, Shopping, Home & Garden, Home Decor, Home Services, Kitchen & Bath
Temple University Hospital ;2.0;67;Hospitals, Health & Medical, Optometrists
Bistro St. Tropez;3.5;163;Restaurants, French
NY Bagel Cafe & Deli;3.0;52;Restaurants, Food, Bagels, Breakfast & Brunch, Coffee & Tea, Sandwiches, Delis, American (New)
Silvio Hair Styling For Men;2.5;6;Barbers, Beauty & Spas
Mumbai Bistro;4.0;217;Indian, Restaurants
Whetstone Tavern;4.0;166;Restaurants, Cocktail Bars, American (New), Desserts, American (Traditional), Nightlife, Bars, Food
Chick-fil-A;4.0;80;Event Planning & Services, American (Traditional), Restaurants, Food, Caterers, Fast Food, Chicken Shop, Breakfast & Brunch
Checkers;2.0;21;Restaurants, Fast Food, Burgers
4th Street Nails;4.0;44;Beauty & Spas, Nail Salons
NY Bagel & Deli Shop;4.0;31;Bagels, Food, Breakfast & Brunch, Coffee & Tea, Restaurants, Burgers, Delis
Philadelphia Room Escape;4.5;31;Active Life, Event Planning & Services, Escape Games, Challenge Courses, Team Building Activities
Cafe Victoria's;3.0;29;Food, Cafes, Restaurants, Coffee & Tea, Breakfast & Brunch
University Crossings;1.0;15;Apartments, University Housing, Home Services, Real Estate, Property Management
KFC;2.0;7;Restaurants, Chicken Shop, Fast Food, Chicken Wings
Historic Philadelphia, Inc;4.5;5;Hotels & Travel, Tours
Kaiserman JCC;3.5;11;Preschools, Recreation Centers, Education, Gyms, Community Centers, Day Camps, Fitness & Instruction, Local Services, Active Life, Public Services & Government, Child Care & Day Care, Summer Camps
The Collins Apartments;4.0;10;Real Estate, Home Services, Apartments
The Royal Indian Cuisine;4.0;28;Restaurants, Indian
McDonald's;1.5;20;Restaurants, Fast Food, Food, Coffee & Tea, Burgers
The Irish Times;3.5;44;Nightlife, Bars, Beer, Wine & Spirits, Pubs, Irish, Food, Restaurants
Pacifico Hyundai;2.5;46;Car Dealers, Auto Parts & Supplies, Auto Repair, Hotels & Travel, Automotive, Car Rental
24;3.5;111;Italian, Bars, Restaurants, Nightlife, Wine Bars, Breakfast & Brunch
Holiday Nail Salon;3.5;28;Nail Salons, Beauty & Spas
Richard Kenneth Jewelers;3.0;16;Shopping, Jewelry, Watches, Antiques
Global Appliance Parts;5.0;5;Shopping, Home & Garden, Appliances
reYOU massage;4.0;63;Massage, Health & Medical, Beauty & Spas, Medical Spas
CVS Optical;2.5;35;Shopping, Food, Health & Medical, Pharmacy, Convenience Stores, Drugstores
Cedar Park Cafe;4.0;301;Diners, Restaurants, Sandwiches, Breakfast & Brunch, Vegetarian
Edible Arrangements;3.5;10;Flowers & Gifts, Specialty Food, Shopping, Food, Florists, Gift Shops, Chocolatiers & Shops
Foot Locker;2.0;12;Fashion, Men's Clothing, Shopping, Shoe Stores, Sporting Goods, Sports Wear
The Coventry Deli;4.0;65;Restaurants, Delis, Salad, Sandwiches
Sean Thorntons Public House;3.5;6;Food, Nightlife, Restaurants, Irish Pub, Bars, Irish, Pubs, Beer, Wine & Spirits, Event Planning & Services, Gastropubs, Caterers
Morton's The Steakhouse;3.5;149;Steakhouses, Restaurants, Nightlife, Seafood, Bars, American (Traditional)
Nancy Le Nails;2.0;10;Nail Salons, Beauty & Spas
Aicha African Hair Braiding;4.0;20;Beauty & Spas, Hair Salons, Cosmetics & Beauty Supply, Hair Stylists, Hair Extensions, Shopping
More Than Old;4.0;6;Home & Garden, Shopping, Furniture Stores, Antiques, Home Decor
4J Laundromat;5.0;13;Laundromat, Local Services, Laundry Services
Caring Hands Veterinary Clinic;4.0;36;Veterinarians, Pets
Flambo Caribbean Restaurant;4.5;138;Trinidadian, Caribbean, Restaurants, Seafood
Debbie's Pet Sitting;5.0;12;Dog Walkers, Pet Services, Health & Medical, Reiki, Pet Sitting, Pets
Wawa;3.5;50;Delis, Gas Stations, Food, Convenience Stores, Restaurants, Automotive, Coffee & Tea, Sandwiches
Cosi;2.5;63;Sandwiches, Vegetarian, Pizza, Food, Coffee & Tea, Delis, Restaurants, American (New)
James Brown Hair;4.0;21;Waxing, Hair Removal, Beauty & Spas, Hair Salons
willow + june hair;5.0;24;Beauty & Spas, Hair Extensions, Makeup Artists, Hair Salons
Beneficial Bank;2.5;5;Banks & Credit Unions, Financial Services
Plume Salon;4.5;138;Waxing, Beauty & Spas, Eyelash Service, Used, Vintage & Consignment, Hair Salons, Hair Removal, Makeup Artists, Shopping, Fashion
L Priori Jewelry;5.0;29;Shopping, Jewelry
East Falls Chiropractic: Zachary Dillow, D.C;4.5;16;Gastroenterologist, Chiropractors, Nutritionists, Doctors, Health & Medical
Naoki Ramen;4.0;92;Ramen, Restaurants, Japanese
House of Beauty;1.5;180;Cosmetics & Beauty Supply, Beauty & Spas, Shopping, Hair Extensions, Wigs, Skin Care, Hair Salons
Minas Pizza;3.0;54;Restaurants, Pizza
Feet First Team Building;5.0;6;Scavenger Hunts, Active Life, Team Building Activities, Event Planning & Services
Shibe Vintage Sports;4.5;23;Sporting Goods, Fashion, Souvenir Shops, Sports Wear, Shopping
The Lunar Inn;4.5;29;Bars, Food, Restaurants, Beer, Wine & Spirits, American (Traditional), Nightlife
Ndulge;3.5;15;Restaurants, Thai, Food, Cafes, Cupcakes
Meister's Barber Shop;4.0;79;Beauty & Spas, Barbers, Hair Salons, Men's Hair Salons
BehatiLife;3.5;7;Arts & Entertainment, Professional Services, Spiritual Shop, Supernatural Readings, Life Coach, Shopping, Religious Items
Chase's Hop Shop;4.5;116;Chicken Wings, Nightlife, Bars, Delis, Food, Beer Gardens, Sandwiches, Beer Bar, Restaurants, Beer, Wine & Spirits, Gastropubs
Budget Car Rental;2.0;12;Hotels & Travel, Automotive, Car Rental, Truck Rental
Beck's Cajun Cafe;4.0;485;Restaurants, Cajun/Creole
Golden Triangle;4.5;159;Restaurants, Malaysian, Burmese, Asian Fusion, Thai
Benna's West;3.5;47;Juice Bars & Smoothies, Sandwiches, Food, Restaurants, Coffee & Tea
P&P Grocery;4.5;13;Food, Grocery
Salon Tenshi;4.0;17;Beauty & Spas, Nail Salons, Hair Salons
Breakfast Boutique Chestnut Hill;3.0;151;Breakfast & Brunch, Restaurants
The Inn at The Union League;3.5;19;Hotels & Travel, Event Planning & Services, Hotels
Intelligent Movers;3.0;11;Home Services, Movers
Platoon Fitness;5.0;10;Boot Camps, Weight Loss Centers, Health & Medical, Gyms, Trainers, Fitness & Instruction, Active Life, Martial Arts, Massage Therapy, Nutritionists
Blue Mountain Vineyards & Cellars;4.5;16;Wineries, Arts & Entertainment, Food
Tandoor Authentic Indian Restaurant;3.5;148;Food Delivery Services, Halal, Food, Restaurants, Buffets, Pakistani, Indian
Sheffield Tavern;2.0;12;Bars, Nightlife
Forin Cafe;4.5;10;Shopping, Restaurants, Cafes, Fashion
Chestnut Nail;3.0;40;Beauty & Spas, Nail Salons
Tony's Luke;2.5;172;Cheesesteaks, Restaurants
Saige Cafأ©;3.0;14;Sandwiches, Breakfast & Brunch, Coffee & Tea, Food, Restaurants, Cafes, Juice Bars & Smoothies
Liz Clark Real Estate;5.0;33;Real Estate Agents, Real Estate Services, Home Services, Real Estate
Sunoco;2.5;8;Restaurants, Delis, Sandwiches
Best IT Guru;4.0;10;Shopping, Computers, Specialty Schools, Marketing, Mobile Phone Repair, Professional Services, Telecommunications, Education, Graphic Design, Web Design, Mobile Phone Accessories, Home Network Installation, Security Systems, Legal Services, Local Services, Home Services, IT Services & Computer Repair
21 M Salon;4.5;19;Cosmetics & Beauty Supply, Beauty & Spas, Men's Hair Salons, Shopping, Hair Removal, Waxing, Makeup Artists, Blow Dry/Out Services, Hair Stylists, Hair Salons
Margarita's Beauty Salon;4.5;6;Hair Salons, Beauty & Spas, Barbers
Thomas Lofts;2.0;7;Home Services, Real Estate, Apartments
Mood Cafe;4.5;458;Cafes, Pakistani, Juice Bars & Smoothies, Restaurants, Ice Cream & Frozen Yogurt, Halal, Indian, Coffee & Tea, Food
Great Nails & Spa;2.5;8;Nail Salons, Waxing, Beauty & Spas, Hair Removal
Bath & Body Works;2.5;5;Cosmetics & Beauty Supply, Beauty & Spas, Shopping
Floating World Tattoo & Body Piercing;4.5;15;Piercing, Beauty & Spas, Tattoo
Philadelphia Independents;4.5;24;Gift Shops, Shopping, Arts & Entertainment, Flowers & Gifts
My Auto Dents;5.0;11;Body Shops, Automotive
Mark Watkins, DO;3.5;19;Family Practice, Health & Medical, Doctors
TJ Maxx;3.0;6;Women's Clothing, Fashion, Accessories, Children's Clothing, Personal Shopping, Shopping
Wilson's Market;3.5;13;Specialty Food, Meat Shops, Sandwiches, Food, Restaurants, Delis, Grocery
Green Street Property Management;2.0;10;Property Management, Real Estate, Home Services
Southgate;4.0;323;Breakfast & Brunch, American (Traditional), Korean, Restaurants, Gastropubs, Nightlife, Bars, Cocktail Bars
Bizzy B Handyman & Painting Services;2.5;7;Decks & Railing, Junk Removal & Hauling, Carpenters, Contractors, Painters, Windows Installation, Handyman, TV Mounting, Drywall Installation & Repair, Plumbing, Local Services, Demolition Services, Home Services
Video Library;3.5;7;Shopping, Books, Mags, Music & Video, Videos & Video Game Rental, Arts & Entertainment, Food, Cinema, Ice Cream & Frozen Yogurt
Poison Apple Tattoos;4.0;5;Tattoo, Arts & Entertainment, Beauty & Spas, Art Galleries, Shopping
Tony Jr's;3.0;71;Restaurants, Sandwiches, Cheesesteaks
Iheoma Esochi J DDS;3.5;7;Health & Medical, Dentists, General Dentistry
Falls Deli;4.5;31;Bagels, Food, Sandwiches, Delis, Breakfast & Brunch, Restaurants, Event Planning & Services, Caterers
Retro Fitness;3.5;15;Fitness & Instruction, Active Life, Gyms
Angelina's;4.5;49;Restaurants, Italian
Suds and Swagger;4.5;12;Pet Services, Pet Groomers, Pets
The Glen At Shawmont Station;4.0;9;Home Services, Real Estate, Apartments
Philadelphia Phillies;4.5;94;Arts & Entertainment, Professional Sports Teams
Crown Fried Chicken;3.5;11;Chicken Wings, Restaurants, Fast Food
Pennsylvania Oral Surgery & Dental Implant Centers;3.5;9;Oral Surgeons, Health & Medical, Cosmetic Dentists, Dentists, Orthodontists
Divine Creations Unisex Salon;4.5;5;Hair Salons, Beauty & Spas
Gigi and Big R;4.0;81;Restaurants, Food, Caribbean, Food Trucks
O Sole Mio;4.5;85;Food, Seafood, Sardinian, Gelato, Restaurants, Pizza, Italian
North American Motor Inns;1.0;25;Hotels, Event Planning & Services, Hotels & Travel, Caterers
Izumi;4.0;219;Restaurants, Sushi Bars, Desserts, Food, Japanese
Apex Inspections;4.5;23;Home Inspectors, Home Services
Machismo Burrito Bar;3.0;30;Restaurants, Mexican
Just To Serve You Too;3.0;68;Seafood, Restaurants, Soul Food, Southern
Yoga Sutra;3.5;7;Active Life, Yoga, Fitness & Instruction
Apartments By Lego;1.0;6;Home Services, Apartments, Real Estate
McDonald's;2.0;55;Fast Food, Food, Restaurants, Coffee & Tea, Burgers
Kia on the Boulevard;2.0;47;Automotive, Car Dealers
KS Optical Group;4.5;6;Doctors, Optometrists, Shopping, Eyewear & Opticians, Health & Medical
The Spot;3.0;80;Breakfast & Brunch, Pizza, Greek, Restaurants, Food
The Bourse;2.0;35;Food Court, Shopping, Shopping Centers, IT Services & Computer Repair, Local Services, Souvenir Shops, Restaurants
Fine Wine & Good Spirits - Premium Collection;2.0;7;Food, Beer, Wine & Spirits
Taqueria La Hacienda;3.5;10;Latin American, Restaurants
Cups & Chairs;4.5;80;Coffee & Tea, Food
Zocalo;2.5;59;Restaurants, Mexican
Butter's Soul Food;3.0;77;Food, Caterers, Event Planning & Services, Restaurants, Soul Food
Alchemy Coffee;5.0;19;Food, Coffee & Tea
Bicycle Revolutions;4.5;94;Bike Repair/Maintenance, Local Services, Sporting Goods, Bikes, Shopping
Ride The Ducks;3.5;83;Tours, Local Flavor, Hotels & Travel
Crowne Plaza Hotel Philadelphia Downtown;3.0;59;Venues & Event Spaces, Hotels, Event Planning & Services, Hotels & Travel
Jefferson Dental Associates;4.0;41;Pediatric Dentists, Oral Surgeons, Health & Medical, General Dentistry, Endodontists, Cosmetic Dentists, Dentists, Periodontists
GameStop;3.5;7;Books, Mags, Music & Video, Shopping, Video Game Stores, Videos & Video Game Rental, Electronics
Hill Counseling;2.0;5;Counseling & Mental Health, Health & Medical
Cannuli's Quality Meats & Poultry;4.5;38;Specialty Food, Caterers, Meat Shops, Food, Event Planning & Services
Dairy Queen;2.0;6;Food, Ice Cream & Frozen Yogurt
Saladworks;3.5;8;Salad, Restaurants, American (Traditional), Food, Sandwiches, Do-It-Yourself Food, Soup, Vegetarian, American (New)
Olly;4.0;51;Pizza, Food, Bagels, Sandwiches, Comfort Food, Breakfast & Brunch, Burgers, American (New), Nightlife, Bars, Wine Bars, Restaurants
Spice Grill;3.5;12;Restaurants, Chinese, Asian Fusion
Han Dynasty;4.0;783;Restaurants, Chinese, Szechuan
Vista Auto Group;2.0;7;Used Car Dealers, Car Dealers, Automotive
Hakka Beef House;4.5;33;Restaurants, Chinese
The Groomin Room;4.0;31;Pet Services, Pets, Pet Groomers
Kimpton Hotel Monaco Philadelphia;4.0;499;Hotels & Travel, Event Planning & Services, Venues & Event Spaces, Hotels, Wedding Planning
Guavaberry Foods & Drinks ;4.0;13;Delis, Convenience Stores, Restaurants, Cafes, Food
Capogiro Gelato;4.0;252;Pizza, Restaurants, Gelato, Coffee & Tea, Ice Cream & Frozen Yogurt, Food
Majestic Ballroom;1.0;5;Event Planning & Services, Venues & Event Spaces
Chenango Restaurant & Bar;2.0;10;Barbeque, Bars, Nightlife, Restaurants
John's Seafood;3.0;9;Restaurants, Seafood
B & A Archery;4.5;8;Sporting Goods, Shopping, Sports Clubs, Active Life, Archery
FurnitureXO.com;1.5;14;Home & Garden, Shopping, Furniture Stores, Interior Design, Home Services
Mأ©xico Lindo;4.5;73;Mexican, Restaurants
The Somers Team;3.5;7;Home Services, Real Estate Services, Real Estate
Deluxe Hair Salon;4.5;126;Beauty & Spas, Hair Salons
The Blarney Stone;3.5;46;Burgers, American (Traditional), Karaoke, Pubs, Restaurants, Nightlife, Bars
Forman Mills;2.0;11;Shopping, Fashion, Sports Wear, Children's Clothing, Sporting Goods, Men's Clothing, Women's Clothing
Junes Breakfast;2.5;20;Breakfast & Brunch, Restaurants, Coffee & Tea, Food, Sandwiches, American (New)
New Frontier Outfitters;4.5;12;Active Life, Fishing, Guns & Ammo, Sporting Goods, Shopping, Outdoor Gear
The Comcast Experience HD Video Wall;4.0;50;Local Flavor
Jinxed Fishtown;4.5;22;Used, Vintage & Consignment, Art Galleries, Fashion, Antiques, Shopping, Women's Clothing, Arts & Entertainment
Dynamite Braids Hair Salon & Spa;2.5;9;Hair Salons, Beauty & Spas, Hair Stylists, Nail Salons
Lincoln Chicken Pizza And Grill;2.5;20;Cheesesteaks, Chicken Wings, Restaurants, Pizza
The Farm and Fisherman;4.0;234;American (New), Restaurants
Dodd William A, DMD;3.5;16;Doctors, General Dentistry, Dentists, Health & Medical
Crab & Claw;3.0;65;Seafood Markets, Specialty Food, Food
Urban Eatery;2.0;9;Restaurants, Food Court
Dragon House;4.0;5;Restaurants, Chinese
Buca Dâ€™Oro ;4.0;5;Italian, Restaurants
Z Brothers Service Center;3.0;13;Auto Repair, Automotive, Gas Stations
Pho Nam Giang;4.5;23;Chinese, Restaurants, Vietnamese, Asian Fusion
Energy Plus Holdings;1.5;15;Home Services
Grain Exchange;3.5;239;Restaurants, American (New), Nightlife, American (Traditional), Pubs, Southern, Bars, Gastropubs
Minima;4.0;7;Home & Garden, Furniture Stores, Shopping
Temple ReadyCare - Cottman Avenue;3.5;8;Health & Medical, Urgent Care
Chestnut Hill Escape Room;5.0;9;Escape Games, Active Life
Oregon Laundromat;3.0;8;Laundry Services, Local Services, Laundromat, Dry Cleaning & Laundry
Fairmount Pet Shoppe;4.5;64;Pet Stores, Pets
City Hydration;5.0;25;Beauty & Spas, IV Hydration, Medical Spas, Health & Medical
Chuck's Alibi;2.0;76;Food, Restaurants, Seafood
Trend Eye Care;5.0;193;Health & Medical, Shopping, Fashion, Optometrists, Accessories, Eyewear & Opticians
J'aime French Bakery;4.5;310;Food, Juice Bars & Smoothies, Coffee & Tea, Restaurants, Bakeries, Cafes
Retail Express;1.0;9;Couriers & Delivery Services, Local Services
William Way Community Center;4.5;6;Local Services, Community Service/Non-Profit
Lucky Wok Restaurant;2.5;6;Restaurants, Chinese
Simple Solutions Home Repairs;4.5;7;Flooring, Painters, Home Services, Contractors, Handyman
Mattei Tire Co;4.0;7;Tires, Automotive
Z Dog Day Care;4.0;33;Pet Training, Pet Services, Pets, Dog Walkers, Pet Sitting
About BBQ;4.0;14;Barbeque, Restaurants
I Like To Move It;4.0;144;Self Storage, Home Services, Local Services, Couriers & Delivery Services, Movers, Home Cleaning
Mike's Breakfast;3.0;15;Restaurants, Breakfast & Brunch
Village Thrift Stores;3.0;15;Thrift Stores, Used, Vintage & Consignment, Fashion, Shopping
Urban Princess Boutique;5.0;18;Fashion, Women's Clothing, Flowers & Gifts, Shopping, Jewelry, Accessories, Gift Shops
MSB Roofing;2.0;6;Roofing, Home Services
Pub & Kitchen;3.5;615;Restaurants, Pubs, Food, Bars, American (New), Nightlife
Dentistry For Life;4.5;61;Health & Medical, Orthodontists, Oral Surgeons, Dentists, General Dentistry, Endodontists, Cosmetic Dentists
Quality Pizza;3.0;19;Restaurants, Pizza
Three 12 Sport Bar and Lounge;2.5;33;Lounges, Sports Bars, Bars, Cocktail Bars, Nightlife, Restaurants, American (Traditional)
Germantown Pizza;3.0;20;Pizza, Restaurants, Italian, Desserts, Food
Hammerheads Bar & Grille;2.5;15;Dive Bars, Restaurants, American (Traditional), Nightlife, Bars
In Style Hair Studio;4.5;42;Hair Salons, Beauty & Spas
Square 1682;3.5;385;American (New), Breakfast & Brunch, Bars, Nightlife, Restaurants
Archway Sandwich Shop;3.0;7;Delis, Sandwiches, Restaurants, Breakfast & Brunch
Dmitri's;4.0;273;Mediterranean, Restaurants, Seafood, Greek
Franzone's Pizzeria & Restaurant;3.5;110;Pizza, Restaurants
Brown Chicken Brown Cow;4.0;5;Ice Cream & Frozen Yogurt, Coffee & Tea, Food
Total Serenity Day Spa;2.0;78;Beauty & Spas, Day Spas
Enterprise Rent-A-Car;2.5;6;Car Rental, Hotels & Travel
Vientiane Cafأ©;4.0;304;Vietnamese, Restaurants, Food, Thai, Coffee & Tea, Laotian
Temple University Hospital - Episcopal Campus;2.5;9;Hospitals, Health & Medical
The Sporting Club at the Bellevue;3.5;137;Contractors, Active Life, Fitness & Instruction, Pickleball, Weight Loss Centers, Home Services, Health & Medical, Swimming Pools, Pilates, Gyms, Boot Camps
Sonam;4.5;9;Tapas Bars, Restaurants
Menchie's Frozen Yogurt;4.0;19;Food, Desserts, Do-It-Yourself Food, Ice Cream & Frozen Yogurt
B & W Locksmith;5.0;6;Keys & Locksmiths, Home Services
Philadelphia Parking Authority;2.5;8;Parking, Automotive
Center City Pediatrics;3.5;35;Health & Medical, Doctors, Pediatricians
1 Tippling Place;4.0;300;Bars, Nightlife, Lounges, Cocktail Bars
Citi Market place;4.5;86;Grocery, Vegan, Food, Vegetarian, Convenience Stores, Restaurants
Moday Center for Functional and Integrative Medicine;4.5;9;Health & Medical, Naturopathic/Holistic, Medical Centers, Doctors
Passero's Coffee Roasters;4.5;91;Coffee & Tea, Restaurants, Food, Coffee Roasteries, Sandwiches
Starbucks;2.5;13;Food, Coffee & Tea
Wit or Witout Cheesesteaks;2.5;37;Restaurants, Cheesesteaks, Sandwiches
Johnny G's Pizza;3.0;11;Restaurants, Pizza
Academy Chiropractic Center;5.0;15;Nutritionists, Weight Loss Centers, Chiropractors, Health & Medical, Massage Therapy
Labcorp;2.5;5;Diagnostic Services, Health & Medical, Laboratory Testing
Color Nail & Spa;3.5;25;Skin Care, Beauty & Spas, Massage, Nail Salons
Realty World Properties;1.5;18;Real Estate Services, Home Services, Real Estate
Philadelphia Sports Network;4.0;7;Active Life, Amateur Sports Teams, Arts & Entertainment, Social Clubs, Sports Clubs
Domino's Pizza;2.0;5;Restaurants, Pizza
Gachi Sushi and Noodle;4.0;95;Noodles, Japanese, Restaurants, Sushi Bars
Susanna Foo Chinese Cuisine;3.5;26;Chinese, Restaurants
It's Just Lunch;1.0;16;Professional Services, Matchmakers
Eye Encounters;2.5;20;Eyewear & Opticians, Shopping, Optometrists, Health & Medical
My Blue Heaven;3.0;6;Restaurants, Nightlife, American (Traditional), Bars
Market Blooms;3.5;33;Shopping, Florists, Home & Garden, Flowers & Gifts, Nurseries & Gardening
Villagio Pizza Cafe;3.0;47;Pizza, Breakfast & Brunch, Restaurants
Goody's Pizza;2.0;25;Restaurants, Pizza
Maryanne S. Ritter Jewelers;5.0;8;Art Restoration, Shopping, Jewelry Repair, Local Services, Jewelry, Watches, Fashion, Watch Repair, Bridal
Little Caesars Pizza;3.0;10;Restaurants, Pizza
TD Banknorth;2.5;9;Financial Services, Mortgage Brokers, Home Services, Real Estate, Banks & Credit Unions
Papa Sam;3.0;6;Pizza, Restaurants
South Street Cleaners;4.5;28;Dry Cleaning & Laundry, Local Services, Laundry Services
Maru Global;3.5;72;Restaurants, Japanese
Tommy's Nail Salon;4.0;6;Nail Salons, Beauty & Spas
True Image Salon;4.5;30;Blow Dry/Out Services, Beauty & Spas, Hair Salons, Hair Stylists
Eyesite;4.5;30;Eyewear & Opticians, Shopping
The Independent Hotel;3.5;123;Hotels, Hotels & Travel, Event Planning & Services
Vincera Institute;4.5;11;Orthopedists, Nutritionists, Pilates, Fitness & Instruction, Sports Medicine, Physical Therapy, Doctors, Active Life, Rehabilitation Center, Health & Medical, Acupuncture
The Naked Peach Waxing Boutique;4.5;81;Spray Tanning, Skin Care, Makeup Artists, Beauty & Spas, Hair Removal, Waxing, Tanning, Teeth Whitening
2nd Street Animal Hospital;4.5;46;Emergency Pet Hospital, Pets, Pet Services, Veterinarians, Orthopedists, Health & Medical, Doctors
PHS Pop Up Garden - uCity Square;4.0;13;Beer Gardens, Nightlife
Castor Dental Care;4.0;6;Oral Surgeons, Dentists, General Dentistry, Health & Medical, Cosmetic Dentists
Pizza Hut;1.5;25;Italian, Chicken Wings, Restaurants, Pizza
Philadelphia Table Company;5.0;26;Shopping, Local Services, Furniture Stores, Interior Design, Home Services, Furniture Repair, Home & Garden, Furniture Assembly, Carpenters
George's Wings;3.5;50;American (Traditional), Fast Food, Restaurants, Chicken Wings, Food, Seafood, Sandwiches, Wraps, Burgers
The Sultans of Schlep;4.5;183;Movers, Home Services
